Al-Jédidé,طريق الجديدة
Beit Ayoub,Beit Ayoub
El-Kantara,Larrabetzu
El-Kouachra,كواشرة
Majdel,Majdel
Minyara,منيارة
Mqaibleh,المقيبلة
Qarha,قرحا
Shadra,شدرا
Aïnata,عيناتا
Al-Nabi Osman,النبي عثمان
Baalbek,بعلبك
Bednayel,بدنايل - الكورة
Brital,بريتال
Khreibé,الخريبة
Younine,يونين
Al-Kharayeb,الخرايب
Hermel,الهرمل
Hermel Charbine,Charbine
Achrafieh,الاشرفية
Ain el-Mreissé,عين المريسة
Bachoura,الباشورة
Medawar,مدور
Minet el-Hosn,ميناء الحصن
Ras Beyrouth,رأس بيروت
Remeil,الرميل
Aïn Aata,عين عطا
Al-Jédidé,طريق الجديدة
Beit Ayoub,Beit Ayoub
El-Kantara,Larrabetzu
El-Kouachra,كواشرة
Majdel,Majdel
Minyara,منيارة
Mqaibleh,المقيبلة
Qarha,قرحا
Shadra,شدرا
Aïnata,عيناتا
Al-Nabi Osman,النبي عثمان
Baalbek,بعلبك
Bednayel,بدنايل - الكورة
Brital,بريتال
Khreibé,الخريبة
Younine,يونين
Al-Kharayeb,الخرايب
Hermel,الهرمل
Hermel Charbine,Charbine
Achrafieh,الاشرفية
Ain el-Mreissé,عين المريسة
Bachoura,الباشورة
Medawar,مدور
Minet el-Hosn,ميناء الحصن
Ras Beyrouth,رأس بيروت
Remeil,الرميل
Al-Jédidé,طريق الجديدة
Beit Ayoub,Beit Ayoub
El-Kantara,Larrabetzu
El-Kouachra,كواشرة
Majdel,Majdel
Minyara,منيارة
Mqaibleh,المقيبلة
Qarha,قرحا
Shadra,شدرا
Aïnata,عيناتا
Al-Nabi Osman,النبي عثمان
Baalbek,بعلبك
Bednayel,بدنايل - الكورة
Brital,بريتال
Khreibé,الخريبة
Younine,يونين
Al-Kharayeb,الخرايب
Hermel,الهرمل
Hermel Charbine,Charbine
Achrafieh,الاشرفية
Ain el-Mreissé,عين المريسة
Bachoura,الباشورة
Medawar,مدور
Minet el-Hosn,ميناء الحصن
Ras Beyrouth,رأس بيروت
Remeil,الرميل
Aïn Aata,عين عطا
Bakkifa,بكيفا
Beit Lahia,بيت لاهيا
Rachaya El-Wadi,
Tannoura,تنورة
Aïn-el-Tiné,عين التينة
Aïn-Zebdé,عين زبدة
Baaloul,بعلول
Machghara,مشغرة
n.a. (4),Wiehl
Anjar,Anjar
Bar-Elias,بر الياس
Chtaura,شتورا
Fourzol,فرزل
Jditah,Jdita
Kab Elias,قب الياس
Tal-el-Akhdar,Tal El Akhdar
Zahlé Mar Elias,زحلة
Zebdol,زبدل
Abey,عبيه
Aïn-Dara,عين دارة
Aïn-El-Jdeidé,جديدة المتن
Aïn Ksour,عين كسور
Aïn Sofar,الصنوبرة
Aramoun,عرمون
Baïssour,كيفون
Bhamdoun (Village),بحمدون
Bkhichtay,بخشتيه
Bsous,بسوس
Btater,Btater
Chartoun,Chartoun
Dfoun,Dfoun
EL-Azouniyeh,العزونية
El-Ghaboun,الغابون
El-Rejmeh,Rejmeh
Kaïfoun,كيفون
Kfar-Aammay,كفر عمي
Kfar Matta,كفر متى
Souk-El-Gharb,سوق الغرب
Baabda,بعبدا
Boutchay,بطشاي
Btekhnay,بتخني
Bzebdine,بزبدين
Chouit,شويت
Deir El-Harf,دير الحرف
Deir Khouna,دير خونا
El-Khreibé,الخريبة
Falougha,القلعة
Hazmiyeh,حازمية
Jouar el Haouz,Jouar El Houz
Kfar Selouane,Kfar Selouan
Kfarchima,كفر شيما
Louaizé,فيطرون
Aïn Zhalta,Ain Zhalta
Ammatour,عماطور
Baakline,حدث
Baassir,بعاصير
Barja,برجا
Beit Eddine,تلة الخيّاط
Bkifa,Bkifa
Bsaba,بسابا
Damour,دامور
Daraya,داريا‎‎
Debbiyeh,برجا
Deir Baba,Deir Baba
Deir El-Kamar,كفر قطرة
El-Barouk,قريطم
El-Jahliyeh,Jahliyeh
El-Jdeidé,جديدة المتن
El-Kahlouniyeh,Kahlouniyeh
El-Wardaniyeh,الوردانية
El Jiyeh,الجية
Gharifé,Gharife
Jadra,جدرا
Joun,Joun
Kfar Katra,كفر قطرة
Kfar Nabrakh,كفر نبرخ‎
Maasser el-Chouf,Maasser El Shouf
Mazboud,Mazboud
Rmeileh,رميلة - الشوف
Sirjbal,Sirjbal
Aïn-El-Kharroubé,عين الخروبة
Aïn-Saâdé,عين سعادة
Aïn Aar,عين عار
Antélias,أنطلياس
Antoura,درعون
Baskinta,بسكنتا
Beit Chebab,بيت شباب
Beit Mery,بيت مري
Bikfaya,بكفيا
Bkennaya,بقنايا
Broummana,قنابة
Bteghrine,بتغرين‎
Dbayé,الضبية‎‎
Deir Chamra,دير شمرا
Deir Tamiche,دير طاميش
Dik El-Mehdi,ديك المحدي
El-Mtaileb,المطيلب
El-Sfailé,سفيلة
El Freiké,فريكة
El Mtein,متين
Haret El-Belleni,حارة البلان
Hebouss,Hebouss
Hemlaya,حملايا
Jal-el-Dib,جل الديب
Kaakour,زرعون
Kornet-El-Hamra,قرنة الحمرا
Mar Abda El-Mchammar,دير مار عبدا المشمر
Mar Boutros Karm El-Tine,Mar Boutros Karm Et Tine
Marjaba,Marjaba
Mazraet Deir Aoukar,مزرعة دير عوكر
Mazraet El-Hadira,مزرعة الحضيرة
Mazraet Yachou,مزرعة يشوع
Mchikha,Mchikha
Mezher,مزهر
Naccache,النقاش
Roumieh,رومية‎
Wata Amaret Chalhoub,عمارة شلهوب
Zabbougha,Zabbougha
Zeghrine,زغرين
Zouk-Khrab,ذوق الخراب
Aïn-el-Delbé,Ain Ed Delbeh
Bejjé,Bejjeh
Blat,Blat
Chamate,Chamate
Chikhane,Chikhane
Chmout,Chmout
El-Berbara,بربارة
